"DL_CH","SITE_name","CellName","LAT_SITE","LON_SITE","AZ","BW","RD","RD_Normal","separar","MME","MME_ID","lnBtsId","Cell_Id","TE","TM","ALT","PCI","TAC","RAC","rootSeqIndex","AdminCellState","E-UTRAN Avg PRB usage per TTI DL","E-UTRAN avg IP sched thp DL, QCI9","Average CQI","Avg UE distance","Distrito","REFARMING","actUlGrpHop"
2050,"TANTAMAYO","TANTAMAYO2",-11.9638,-77.0929,90,50,,0.0700,"|","MME_POOL","0",1579,5792,5,0,30,316,2050,1,"520","1",,,,,"SAN MARTIN DE PORRES",,0
2050,"TANTAMAYO","TANTAMAYO3",-11.9638,-77.0929,200,50,,0.0700,"|","MME_POOL","0",1579,5793,5,0,30,317,2050,1,"534","1",,,,,"SAN MARTIN DE PORRES",,0
2050,"TENAUD_CLARO","TENAUD_CLARO1",-12.1075,-77.0303,350,50,,0.0700,"|","MME_POOL","0",10068,20971,5,0,23,68,2200,1,"415","1",,,,,"MIRAFLORES",,0
2050,"TENAUD_CLARO","TENAUD_CLARO2",-12.1075,-77.0303,50,50,,0.0700,"|","MME_POOL","0",10068,20972,5,0,23,66,2200,1,"445","1",,,,,"MIRAFLORES",,0
2050,"TENAUD_CLARO","TENAUD_CLARO3",-12.1075,-77.0303,170,50,,0.0700,"|","MME_POOL","0",10068,20973,6,0,23,67,2200,1,"56","1",,,,,"MIRAFLORES",,0
2050,"TERM_PLAZANORTE","TERM_PLAZANORTE1",-12.0054,-77.0553,330,50,,0.0700,"|","MME_POOL","0",27666,56661,6,0,21,338,2050,1,"658","1",,,,,"INDEPENDENCIA",,0
2050,"TERM_PLAZANORTE","TERM_PLAZANORTE2",-12.0054,-77.0553,70,50,,0.0700,"|","MME_POOL","0",27666,56662,7,0,21,206,2050,1,"764","1",,,,,"INDEPENDENCIA",,0
2050,"TERM_PLAZANORTE","TERM_PLAZANORTE3",-12.0054,-77.0553,220,50,,0.0700,"|","MME_POOL","0",27666,56663,8,0,21,205,2050,1,"130","1",,,,,"INDEPENDENCIA",,0
2050,"TERM_PLAZANORTE","TERM_PLAZANORTE4",-12.0054,-77.0553,0,50,,0.0700,"|","MME_POOL","0",27666,56664,0,0,5,204,2050,1,"500","1",,,,,"INDEPENDENCIA",,0
2050,"TERMINAL_FIORI","TERMINAL_FIORI1",-12.0086,-77.0618,20,50,,0.0700,"|","MME_POOL","0",20300,46411,7,0,23,46,2050,1,"28","1",,,,,"SAN MARTIN DE PORRES",,0
2050,"TERMINAL_FIORI","TERMINAL_FIORI2",-12.0086,-77.0618,110,50,,0.0700,"|","MME_POOL","0",20300,46412,6,0,23,47,2050,1,"302","1",,,,,"SAN MARTIN DE PORRES",,0
2050,"TERMINAL_FIORI","TERMINAL_FIORI3",-12.0086,-77.0618,280,50,,0.0700,"|","MME_POOL","0",20300,46413,7,0,23,45,2050,1,"304","1",,,,,"SAN MARTIN DE PORRES",,0
2050,"TERRAZAS_PAMPLONA","TERRAZAS_PAMPLONA1",-12.1313,-76.9588,350,50,,0.0700,"|","MME_POOL","0",1132,1321,5,0,22,428,2331,1,"558","1",,,,,"SAN JUAN DE MIRAFLORES",,0
2050,"TERRAZAS_PAMPLONA","TERRAZAS_PAMPLONA2",-12.1313,-76.9588,80,50,,0.0700,"|","MME_POOL","0",1132,1322,6,0,22,426,2331,1,"564","1",,,,,"SAN JUAN DE MIRAFLORES",,0
2050,"TERRAZAS_PAMPLONA","TERRAZAS_PAMPLONA3",-12.1313,-76.9588,260,50,,0.0700,"|","MME_POOL","0",1132,1323,7,0,22,427,2331,1,"570","1",,,,,"SAN JUAN DE MIRAFLORES",,0
