"UARFCN","SITE_name","SITE_CODE","name","LAT_SITE","LON_SITE","AZ","BW","RD","Expr1","BSC_RNC_MME_NAME","RncId","WbtsId","LcrId","TE","TM","ALT","PriScrCode","LAC","RAC","rootSeqIndex","AdminCellState","WCelState"
9768,"VILLA_COLLIQUE","LI00585","VILLA_COLLIQUE 2-C3",-11.9233,-77.0420,100,40,0.0600,"|","RNC05NLV",54,1599,4908,2.0000,0.0000,25.5000,48,2040,154,0,"No_Creado",999
9768,"VILLA_COLLIQUE","LI00585","VILLA_COLLIQUE 1-C3",-11.9233,-77.0420,340,40,0.0600,"|","RNC05NLV",54,1599,4904,4.0000,0.0000,25.5000,47,2040,154,0,"No_Creado",999
9768,"VILLA_24","LI04678","VILLA_24 3-C3",-12.2141,-76.9452,160,40,0.0600,"|","RNC04NMA",19,17329,17337,8.5000,0.0000,27.5000,195,2502,237,0,"No_Creado",999
9768,"VILLA_24","LI04678","VILLA_24 2-C3",-12.2141,-76.9452,40,40,0.0600,"|","RNC04NMA",19,17329,17336,7.0000,0.0000,27.5000,194,2502,237,0,"No_Creado",999
9768,"VILLA_24","LI04678","VILLA_24 1-C3",-12.2141,-76.9452,305,40,0.0600,"|","RNC04NMA",19,17329,17335,8.0000,0.0000,27.5000,193,2502,237,0,"No_Creado",999
9768,"VILLA_LIBERTAD","LI00794","VILLA_LIBERTAD 3-C3",-12.0104,-77.0805,190,40,0.0600,"|","RNC07NMA",57,21224,6364,7.0000,0.0000,25.0000,126,2110,167,0,"No_Creado",999
9768,"VILELA","LI01206","VILELA 2-C3",-10.7458,-77.7543,40,40,0.0600,"|","RNC04NSI",46,10280,10350,5.0000,0.0000,26.0000,81,2340,210,0," 1",0
9768,"VILLA_EL_SALVADOR_3_II","LI00321","VILLA_EL_SALVADOR_3_II 3-C3",-12.2342,-76.9414,160,40,0.0600,"|","RNC04NMA",19,2260,6706,6.0000,1.0000,12.5000,69,2502,237,0,"No_Creado",999
9768,"VILCABAMBA","LI01606","VILCABAMBA 3-C3",-12.1953,-76.9843,200,40,0.0600,"|","RNC04NMA",19,21954,6791,7.0000,0.0000,21.0000,172,2502,237,0,"No_Creado",999
9768,"VILCABAMBA","LI01606","VILCABAMBA 2-C3",-12.1953,-76.9843,90,40,0.0600,"|","RNC04NMA",19,21954,6789,6.0000,0.0000,21.0000,171,2502,237,0,"No_Creado",999
