"BAND","name","LAT_SITE","LON_SITE","AZ","BW","RD","CELL-ID","BSCId","BSC_NAME","BCFId","BTSId","TRXId","initialFrequency","preferredBcchMark","status","hoppingSequenceNumber1","bsIdentityCodeBCC","bsIdentityCodeNCC","BTS_State","TRX_STATE","LAC","rac","REFARMING"
1900,"EL_TRIUNFO 6",-12.1586,-76.9372,220,70,0.1100,62979,363921,"BSC01NLV",933,935,,616,1,"no creado",,,,,,1122,122,
1900,"ENAPU_NEXTEL 4",-12.0556,-77.1431,270,70,0.1100,19661,249333,"BSC01NMA",593,593,,613,1,"no creado",,,,,,1115,87,
1900,"ENAPU_NEXTEL 5",-12.0556,-77.1431,30,70,0.1100,19662,249333,"BSC01NMA",593,594,,615,1,"no creado",,,,,,1115,87,
1900,"ENAPU_NEXTEL 6",-12.0556,-77.1431,150,70,0.1100,19663,249333,"BSC01NMA",593,595,,668,1,"no creado",,,,,,1115,87,
1900,"ESCUELA_NAVAL 4",-12.0718,-77.1663,60,70,0.1100,17191,249333,"BSC01NMA",403,404,,662,1,"no creado",,,,,,1115,87,
1900,"ESCUELA_NAVAL 5",-12.0718,-77.1663,125,70,0.1100,17202,249333,"BSC01NMA",403,405,,648,1,"no creado",,,,,,1115,87,
1900,"ESPECIALES 4",-11.9597,-76.9958,300,70,0.1100,61099,363922,"BSC02NLV",850,853,,615,1,"no creado",,,,,,1140,95,
1900,"ESPECIALES 5",-11.9597,-76.9958,20,70,0.1100,61100,363922,"BSC02NLV",850,854,,670,1,"no creado",,,,,,1140,95,
1900,"ESPECIALES 6",-11.9597,-76.9958,95,70,0.1100,61103,363922,"BSC02NLV",850,855,,673,1,"no creado",,,,,,1140,95,
1900,"F_TERRY 4",-12.0887,-77.0177,315,70,0.1100,13401,249333,"BSC01NMA",439,442,,672,1,"no creado",,,,,,1119,91,
1900,"F_TERRY 5",-12.0887,-77.0177,110,70,0.1100,13402,249333,"BSC01NMA",439,443,,615,1,"no creado",,,,,,1119,91,
1900,"F_TERRY 6",-12.0887,-77.0177,210,70,0.1100,13403,249333,"BSC01NMA",439,444,,668,1,"no creado",,,,,,1119,91,
1900,"FERREYROS 4",-12.0893,-77.0066,30,70,0.1100,15761,249333,"BSC01NMA",581,581,,668,1,"no creado",,,,,,1118,90,
1900,"FERREYROS 5",-12.0893,-77.0066,150,70,0.1100,15762,249333,"BSC01NMA",581,582,,616,1,"no creado",,,,,,1118,90,
1900,"FERREYROS 6",-12.0893,-77.0066,265,70,0.1100,15763,249333,"BSC01NMA",581,583,,672,1,"no creado",,,,,,1118,90,
1900,"FILADELFIA 4",-11.9962,-77.1092,330,70,0.1100,14861,397196,"BSC03NMA",49,49,,614,1,"no creado",,,,,,1133,133,
1900,"FILADELFIA 5",-11.9962,-77.1092,90,70,0.1100,14862,397196,"BSC03NMA",49,50,,670,1,"no creado",,,,,,1133,133,
1900,"FILADELFIA 6",-11.9962,-77.1092,210,70,0.1100,14863,397196,"BSC03NMA",49,51,,673,1,"no creado",,,,,,1133,133,
