"BAND","name","LAT_SITE","LON_SITE","AZ","BW","RD","CELL-ID","BSCId","BSC_NAME","BCFId","BTSId","TRXId","initialFrequency","preferredBcchMark","status","hoppingSequenceNumber1","bsIdentityCodeBCC","bsIdentityCodeNCC","BTS_State","TRX_STATE","LAC","rac","REFARMING"
1900,"HBTS_SAN_FELIPE_B 6",-12.0857,-77.0569,160,70,0.1100,11173,249333,"BSC01NMA",694,696,,614,1,"no creado",,,,,,1116,88,
1900,"HERALDOS_NEGROS 4",-12.1807,-76.9378,270,70,0.1100,17064,363921,"BSC01NLV",1228,1228,,613,1,"no creado",,,,,,1123,123,
1900,"HERALDOS_NEGROS 5",-12.1807,-76.9378,30,70,0.1100,17067,363921,"BSC01NLV",1228,1229,,670,1,"no creado",,,,,,1123,123,
1900,"HERALDOS_NEGROS 6",-12.1807,-76.9378,180,70,0.1100,17068,363921,"BSC01NLV",1228,1230,,672,1,"no creado",,,,,,1123,123,
1900,"HIGUERETA_NEXTEL 4",-12.1253,-77.0032,280,70,0.1100,14491,249333,"BSC01NMA",760,760,,668,1,"no creado",,,,,,1118,90,
1900,"HIGUERETA_NEXTEL 5",-12.1253,-77.0032,70,70,0.1100,14492,249333,"BSC01NMA",760,761,,615,1,"no creado",,,,,,1118,90,
1900,"HIGUERETA_NEXTEL 6",-12.1253,-77.0032,200,70,0.1100,14493,249333,"BSC01NMA",760,762,,670,1,"no creado",,,,,,1118,90,
1900,"HILARION 4",-11.9966,-77.0103,310,70,0.1100,61320,363922,"BSC02NLV",877,880,,612,1,"no creado",,,,,,1140,95,
1900,"HILARION 5",-11.9966,-77.0103,80,70,0.1100,61324,363922,"BSC02NLV",877,881,,614,1,"no creado",,,,,,1140,95,
1900,"HILARION 6",-11.9966,-77.0103,200,70,0.1100,61325,363922,"BSC02NLV",877,882,,673,1,"no creado",,,,,,1140,95,
